user_id,podcast_id,rating,listen_time_min,is_favorite
1,675,1.6,78,1
1,759,3.7,33,1
1,239,2.2,85,0
1,906,3.6,64,1
1,342,4.1,128,1
1,29,4.4,163,0
1,433,3.5,133,0
1,698,3.0,23,0
1,851,4.1,75,1
1,761,2.1,42,0
1,995,4.6,54,1
1,392,2.3,166,0
1,75,2.2,14,1
1,646,1.1,28,1
1,190,4.7,10,0
1,397,1.1,61,0
1,241,2.6,51,1
1,238,3.3,130,1
1,201,4.9,73,1
1,697,4.5,169,0
1,886,3.2,170,1
1,366,3.8,79,1
1,998,3.9,35,1
1,254,2.2,91,1
1,744,4.3,6,1
1,899,1.5,158,1
1,518,1.4,108,0
1,583,3.9,161,1
1,434,1.4,114,0
1,910,3.2,103,0
1,456,1.5,139,1
1,257,1.6,90,1
2,264,5.0,171,1
2,868,2.8,97,0
2,335,5.0,160,0
2,100,1.2,148,1
2,500,4.2,48,1
2,132,2.2,150,1
2,1,4.3,5,0
2,862,1.5,11,1
2,1000,4.0,24,1
2,804,3.0,58,1
2,987,2.8,52,0
2,824,2.6,60,0
2,992,3.1,97,0
2,159,3.7,55,0
2,900,2.3,50,0
2,701,1.9,113,1
2,950,4.3,130,1
2,667,1.8,64,0
2,938,1.8,22,1
2,887,3.9,93,1
2,300,3.1,28,0
2,584,2.8,153,0
2,102,3.6,62,1
3,441,3.7,142,0
3,437,1.7,105,1
3,682,4.6,121,0
3,249,2.4,6,1
3,527,2.9,40,1
3,674,1.1,74,1
3,454,3.3,75,0
3,689,5.0,52,1
3,149,4.9,118,1
3,299,1.6,56,0
3,516,4.8,80,1
3,998,1.6,24,0
3,172,4.5,33,1
3,246,3.5,88,1
3,803,3.8,36,1
3,713,3.9,34,1
3,273,3.1,135,0
3,177,4.5,174,1
3,548,3.6,96,0
3,786,2.9,104,1
3,163,2.8,158,1
3,272,1.8,178,1
3,313,3.5,166,1
3,718,3.6,94,1
3,771,4.5,47,0
3,146,1.5,40,1
3,317,2.7,105,0
3,905,1.7,31,1
3,108,4.9,30,0
3,920,1.5,145,0
3,959,4.9,106,0
3,622,4.9,80,1
3,295,1.8,49,0
3,536,3.3,84,0
3,244,3.3,49,0
3,579,4.1,71,1
3,509,1.9,18,0
3,721,1.6,41,0
3,665,2.9,116,0
3,213,3.1,170,0
3,285,2.8,67,0
3,476,2.6,33,0
3,360,2.4,174,1
4,610,1.2,22,0
4,976,4.2,125,1
4,535,2.7,81,0
4,104,2.8,18,0
4,106,2.4,75,0
4,8,4.8,118,1
4,978,2.5,85,0
4,150,1.6,124,1
4,171,4.7,113,0
4,629,4.4,13,1
4,795,2.7,145,1
4,604,2.6,26,0
4,990,1.5,147,1
4,622,3.1,112,1
4,353,4.9,145,0
4,987,1.1,35,0
4,214,3.1,33,1
4,656,3.0,74,0
4,461,1.4,28,0
4,581,3.7,175,0
4,472,3.2,84,1
4,442,2.2,25,1
4,543,3.5,67,0
4,857,1.9,51,0
4,187,4.7,122,1
4,486,3.3,101,1
4,201,1.8,49,0
4,319,3.4,160,1
4,515,1.3,147,0
4,487,2.2,17,1
4,57,3.7,101,0
4,411,2.6,48,1
4,559,1.7,94,1
4,28,3.6,118,1
4,548,3.1,46,1
4,323,2.8,112,0
4,338,3.3,75,0
4,569,1.2,120,0
4,781,3.0,163,0
4,59,4.8,25,0
4,544,4.9,140,0
4,189,1.1,158,1
5,29,2.0,111,0
5,142,1.1,99,0
5,971,2.6,7,0
5,708,2.3,70,0
5,840,4.2,127,0
5,624,1.0,139,1
5,700,4.2,128,0
5,9,1.1,147,1
5,993,2.2,106,1
5,558,3.3,5,1
5,281,2.9,116,0
5,462,2.3,133,1
5,203,3.1,60,0
5,247,3.1,133,0
5,415,1.3,67,0
5,851,2.2,138,1
5,135,3.8,175,1
5,738,1.8,154,0
5,747,1.2,11,1
5,567,1.4,152,1
5,339,2.9,38,1
5,189,2.4,6,0
5,288,1.6,14,0
5,78,2.6,82,1
5,515,2.9,27,1
5,555,3.1,78,1
5,486,1.8,12,1
5,185,4.9,163,0
5,759,3.0,162,0
5,162,2.3,93,1
5,721,3.8,147,1
5,768,2.2,52,1
5,880,2.9,52,0
5,817,2.3,128,0
5,139,1.1,18,1
5,364,3.2,82,0
5,45,2.8,179,0
5,535,4.7,91,1
6,602,2.4,83,0
6,37,1.7,83,1
6,584,4.3,67,0
6,596,1.1,162,0
6,726,2.4,98,1
6,515,2.2,56,1
6,49,3.4,154,1
6,943,4.3,29,0
6,8,1.4,72,1
6,224,5.0,169,1
6,413,3.9,63,1
6,302,3.6,63,1
6,204,3.1,61,1
6,314,4.5,10,0
6,261,3.4,88,1
6,506,4.5,180,0
6,747,3.1,31,1
6,613,3.6,63,0
6,433,4.6,41,1
6,392,2.3,170,1
6,894,3.9,39,0
6,56,4.7,60,0
6,765,3.9,80,1
6,965,1.2,81,1
6,39,3.4,161,1
6,460,4.1,51,1
6,449,1.6,32,0
6,855,2.8,169,0
7,617,4.4,101,1
7,542,2.8,156,0
7,483,4.5,23,1
7,100,3.2,155,0
7,61,1.6,20,1
7,812,3.7,35,0
7,529,3.0,64,0
7,16,4.1,69,0
7,851,2.9,134,1
7,67,1.9,103,0
7,490,2.1,54,1
7,886,2.9,147,0
7,272,3.8,80,1
7,810,3.9,19,1
7,152,2.9,73,1
7,581,2.6,149,1
7,646,1.0,178,0
7,31,4.4,172,0
7,809,4.6,138,1
7,833,2.1,45,1
7,684,4.3,163,1
7,619,3.5,65,0
7,513,1.2,43,1
7,554,2.8,149,0
7,12,3.0,153,0
7,983,1.5,71,1
7,309,4.6,56,1
8,407,2.6,167,0
8,67,2.0,153,1
8,925,3.9,52,0
8,581,3.7,175,1
8,821,1.8,122,1
8,230,4.2,176,1
8,399,3.3,158,1
8,574,2.4,152,1
8,946,4.2,14,0
8,959,2.3,154,1
8,788,1.3,54,1
8,114,1.5,159,1
8,729,4.1,97,1
8,553,4.1,140,1
8,667,4.0,145,0
8,874,3.0,46,0
8,666,3.2,140,1
8,513,2.8,165,0
8,678,4.6,11,1
8,229,4.6,104,0
8,825,2.3,42,1
8,632,3.4,102,1
8,857,1.4,119,1
8,635,3.7,40,1
8,244,1.0,79,0
8,295,1.8,38,0
8,744,3.9,34,0
8,47,3.8,12,1
8,599,2.2,75,0
8,478,3.9,112,0
8,971,3.1,126,0
8,377,4.3,172,1
8,806,4.4,166,0
8,547,4.5,23,1
8,694,2.0,57,0
8,497,4.0,79,1
8,361,3.4,123,1
8,551,2.4,118,1
8,294,3.8,28,1
9,770,2.6,118,0
9,328,2.7,25,1
9,547,4.9,114,0
9,440,3.5,19,0
9,130,2.5,27,1
9,989,2.9,119,1
9,667,2.8,16,0
9,321,2.9,83,0
9,863,2.2,163,1
9,198,1.5,77,1
9,627,4.9,126,0
9,999,1.3,57,1
9,672,1.5,33,1
9,231,3.5,134,0
9,427,2.5,61,0
9,344,4.6,49,0
9,248,1.1,68,1
9,577,2.6,13,1
9,361,3.5,24,0
9,900,4.5,164,0
9,491,4.6,70,0
9,616,2.0,98,0
9,37,1.4,69,0
9,190,4.5,100,1
9,916,2.5,170,0
9,507,4.1,121,0
9,983,3.9,80,1
9,629,2.3,109,0
9,997,2.5,50,0
9,313,4.4,161,0
9,261,2.2,135,1
9,582,1.3,90,1
9,215,1.2,154,0
9,608,4.2,34,0
9,44,1.9,105,0
9,960,1.0,152,1
9,665,4.3,75,1
9,932,4.9,147,1
9,877,2.8,45,0
10,921,2.0,97,1
10,225,4.1,80,1
10,763,1.5,84,0
10,525,4.0,29,1
10,871,2.6,7,0
10,595,4.3,114,0
10,961,2.9,115,1
10,778,2.5,93,1
10,744,3.9,22,0
10,728,4.7,11,1
10,479,4.8,135,0
10,669,2.3,58,0
10,520,4.8,157,1
10,841,3.3,72,1
10,542,3.2,179,0
10,717,2.5,130,0
10,953,2.4,28,0
10,722,3.0,39,0
10,131,3.5,104,0
10,661,3.6,16,1
10,519,2.1,15,1
10,974,1.5,23,1
10,788,3.2,73,1
10,816,3.8,149,0
10,373,4.7,178,0
10,659,4.1,117,0
10,834,2.5,19,0
10,416,4.4,149,0
10,810,2.1,125,1
10,973,1.8,20,0
10,336,1.6,152,0
10,516,3.5,37,0
10,976,2.8,41,1
10,103,4.1,13,1
10,69,4.0,175,1
10,214,3.7,146,1
10,177,2.4,88,1
10,858,1.4,81,0
10,462,4.9,121,1
10,315,2.4,114,0
10,358,1.1,97,1
10,850,2.8,127,0
10,254,3.0,16,0
10,474,1.8,74,1
10,702,3.6,135,1
10,391,2.3,141,1
11,994,1.1,130,0
11,529,1.4,55,0
11,312,3.8,11,1
11,497,4.1,108,0
11,145,4.1,158,0
11,787,2.0,55,0
11,10,4.5,170,0
11,683,3.9,99,1
11,144,3.8,164,0
11,330,4.0,102,0
11,817,4.6,161,0
11,899,2.5,123,0
11,461,3.2,65,0
11,750,3.7,123,1
11,46,2.1,172,0
11,76,4.7,40,0
11,397,1.0,49,1
11,484,4.9,175,1
11,121,2.6,168,1
11,822,2.9,179,0
11,106,4.4,150,1
11,616,3.3,172,0
11,963,1.7,180,0
11,785,4.1,71,0
11,436,3.0,96,1
11,856,3.4,40,0
11,406,3.8,51,1
12,976,2.0,91,1
12,778,1.7,128,1
12,741,3.2,56,1
12,881,1.6,57,0
12,992,3.8,173,0
12,870,2.7,115,1
12,765,2.6,38,1
12,439,1.1,40,1
12,165,4.9,10,0
12,247,3.1,53,0
12,950,4.8,14,0
12,11,3.0,128,0
12,455,1.2,99,1
12,730,2.2,75,0
12,223,1.0,36,1
12,116,3.3,178,0
12,61,2.1,117,0
12,7,4.4,75,0
12,911,4.6,109,0
12,231,4.5,177,1
12,75,3.2,140,0
12,748,1.2,147,0
12,342,3.6,179,1
12,239,2.1,71,0
12,322,5.0,123,1
12,268,1.4,170,0
12,668,3.5,102,1
12,24,2.1,147,1
12,31,4.9,53,1
12,340,2.1,100,1
13,449,4.0,163,0
13,691,3.3,147,0
13,495,4.7,78,0
13,857,2.4,117,0
13,704,1.1,79,0
13,66,3.6,42,0
13,35,4.2,17,0
13,17,3.5,115,1
13,912,1.3,109,1
13,609,1.2,113,0
13,356,2.1,10,1
13,733,4.1,18,1
13,133,2.2,98,0
13,176,2.1,79,0
13,354,4.2,120,1
13,826,3.0,101,1
13,91,2.5,144,0
13,758,4.7,74,0
13,61,2.8,123,0
13,283,4.7,165,0
13,657,1.7,102,0
13,736,1.7,44,1
13,482,1.5,90,1
13,128,4.4,162,0
13,142,4.9,175,0
13,105,1.4,167,1
13,32,4.1,35,0
13,717,2.1,110,0
13,389,4.4,179,1
13,965,2.6,75,0
14,239,2.2,174,1
14,287,3.7,54,1
14,564,2.1,19,1
14,493,3.6,44,1
14,679,1.1,34,0
14,96,3.0,171,0
14,833,3.3,11,1
14,478,2.1,27,1
14,487,2.5,29,0
14,816,3.1,17,0
14,131,1.0,82,0
14,86,2.3,74,1
14,923,1.8,33,0
14,710,2.8,80,0
14,774,4.0,163,0
14,700,3.7,29,0
14,197,4.2,114,1
14,107,2.2,50,1
14,914,4.7,37,1
14,190,2.6,161,0
14,127,3.0,89,0
